System log for account marc.landolt@yetnet.ch (msn) connected at 27.05.2007 10::13::59
---- +++ marc.landolt@yetnet.ch hat sich angemeldet @ 2007-05-27 10:13:59 ----
---- Sonja hat den Status von Offline zu Abwesend geändert @ 2007-05-27 10:14:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 10:27:30 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 10:45:48 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 11:25:13 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 11:49:47 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 12:08:07 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 12:50:16 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 13:01:30 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 13:19:47 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- Sonja hat den Status von Abwesend zu Verfügbar geändert @ 2007-05-27 15:52:46 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-05-27 15:56:32 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch hat sich abgemeldet @ 2007-05-27 16:09:42 ----
